YellowKey,Instrument,Maturity Label,Style,Maturity,Underlying, Mx Instrument
Comdty,SCH1,H1 2605,A,2021-05-26,SCH1, AUX OPT JUN21 
Index,S J1,J1 2607,A,2021-07-26,S M1, FEEDER CATTLE SEP21
